"site","dominant_city","dominant_state","outcome","outcome_label","coefficient","coefficient_label","estimate","se","ci_lo","ci_hi","p","observations","trials"
"DC","Washington","DC","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.0661155460737047,0.0826249984099086,-0.0980842758479981,0.230315367995407,0.425756695076907,659,89
"DC","Washington","DC","percent_hispanic","Hispanic Share","RACE4","Asian",-0.000525557835251495,0.0390317798777406,-0.0780930183926065,0.0770419027221036,0.989287392721991,659,89
"DC","Washington","DC","percent_asian","Asian Share","RACE2","African American",0.0402309087271778,0.0205781028109868,-0.000663746426550066,0.0811255638809057,0.0537527292968729,659,89
"DC","Washington","DC","percent_asian","Asian Share","RACE3","Hispanic",-0.00578376363554625,0.0421538866094157,-0.0895557552576804,0.0779882279865879,0.891181451375712,659,89
"DC","Washington","DC","percent_asian","Asian Share","RACE4","Asian",0.0260815195144795,0.0167074756446009,-0.00712107750094934,0.0592841165299084,0.122096761365645,659,89
"DL","Dallas","TX","w2012pc_Rec","White Share","RACE2","African American",-0.010725150209489,0.027840267369525,-0.0657773638649923,0.0443270634460142,0.700657985696496,869,138
"DL","Dallas","TX","w2012pc_Rec","White Share","RACE3","Hispanic",0.0464646853855772,0.06439976014104,-0.0808814103824746,0.173810781153629,0.471829024392631,869,138
"DL","Dallas","TX","w2012pc_Rec","White Share","RACE4","Asian",0.0224469752003771,0.0336993674168764,-0.0441912057647951,0.0890851561655494,0.506470531907619,869,138
"DL","Dallas","TX","percent_black","Black Share","RACE2","African American",-0.0164926457620906,0.0195288876856358,-0.0551096778133275,0.0221243862891462,0.399848115155581,869,138
"DL","Dallas","TX","percent_black","Black Share","RACE3","Hispanic",-0.0373839372897393,0.0388808024187406,-0.114268049552144,0.0395001749726652,0.337994187879398,869,138
"DL","Dallas","TX","percent_black","Black Share","RACE4","Asian",0.0104894810226526,0.0186767734955064,-0.0264425538325716,0.0474215158778769,0.575284121647678,869,138
"DL","Dallas","TX","percent_hispanic","Hispanic Share","RACE2","African American",0.0260663337743696,0.0336307625553274,-0.0404361857962596,0.0925688533449988,0.439631601555612,869,138
"DL","Dallas","TX","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.00163420515464812,0.0416701809780832,-0.0807657113339435,0.0840341216432398,0.968773980730043,869,138
"DL","Dallas","TX","percent_hispanic","Hispanic Share","RACE4","Asian",-0.0872667731099697,0.025869369467293,-0.138421671737327,-0.0361118744826126,0.000965777401544888,869,138
"DL","Dallas","TX","percent_asian","Asian Share","RACE2","African American",0.00943138379965926,0.0214822022826769,-0.0330481935032238,0.0519109611025423,0.661329669432811,869,138
"DL","Dallas","TX","percent_asian","Asian Share","RACE3","Hispanic",-0.0243369006410045,0.0294612547615071,-0.0825945053601712,0.0339207040781622,0.410203691368006,869,138
"DL","Dallas","TX","percent_asian","Asian Share","RACE4","Asian",0.0542845440166623,0.0191197629078699,0.0164765280707085,0.0920925599626162,0.00521210952206817,869,138
